account,name,link
@Aepasek@scholar.social,Anne Pasek,https://scholar.social/@Aepasek
@cbj@mastodon.social,Casper Bruun Jensen,https://mastodon.social/@cbj
@inquiline@mastodon.social,christina d'ache,https://mastodon.social/@inquiline
@jonathansterne@assemblag.es,Jonathan Sterne,https://assemblag.es/@jonathansterne
@jwyg@post.lurk.org,jonathan w. y. gray,https://post.lurk.org/@jwyg
@k8henne@mastodon.social,kate henne,https://mastodon.social/@k8henne
@NoortjeMarres@mstdn.social,Noortje Marres,https://mstdn.social/@NoortjeMarres
@samday@climatejustice.social,Samantha Day,https://climatejustice.social/@samday
@shobitap@mastodon.social,Shobita Parthasarathy,https://mastodon.social/@shobitap
@WarrenPearce@mastodon.social,Warren Pearce,https://mastodon.social/@WarrenPearce
@stefanlaser@social.tchncs.de,Stefan Laser,https://social.tchncs.de/@stefanlaser
@tscriado@mastodon.social,Tom‡s S. Criado,https://mastodon.social/@tscriado
@ckohtala@scholar.social,Cindy Kohtala,https://scholar.social/@ckohtala
@i_ngli@scholar.social,Ingmar Lippert,https://scholar.social/@i_ngli
@cassandreces@scholar.social,Juli Arancio,https://scholar.social/@cassandreces
